Date;Time;Latitude;Longitude;ug/m3
15/02/2020;12:42:11;-6.972.943;107.636.131;3662589
15/02/2020;12:42:12;-6.972.943;107.636.131;3692791
15/02/2020;12:42:13;-6.972.910;107.636.131;3722993
15/02/2020;12:42:14;-6.972.910;107.636.131;3753195
15/02/2020;12:42:15;-6.972.878;107.636.123;3783397
15/02/2020;12:42:16;-6.972.878;107.636.123;3813599
15/02/2020;12:42:17;-6.972.849;107.636.123;3843801
15/02/2020;12:42:18;-6.972.849;107.636.123;3813595
15/02/2020;12:42:19;-6.972.830;107.636.116;3813595
15/02/2020;12:42:20;-6.972.830;107.636.116;3828698
15/02/2020;12:42:21;-6.972.812;107.636.108;3775845
15/02/2020;12:42:22;-6.972.812;107.636.108;3707891
15/02/2020;12:42:23;-6.972.792;107.636.077;3700342
15/02/2020;12:42:24;-6.972.792;107.636.077;3692791
15/02/2020;12:42:25;-6.972.783;107.636.054;3677689
15/02/2020;12:42:26;-6.972.783;107.636.054;3692791
15/02/2020;12:42:27;-6.972.782;107.636.016;3677689
15/02/2020;12:42:28;-6.972.782;107.636.016;3677689
15/02/2020;12:42:29;-6.972.766;107.635.993;3662589
15/02/2020;12:42:30;-6.972.766;107.635.993;3692791
15/02/2020;12:42:31;-6.972.757;107.635.955;3707891
15/02/2020;12:42:32;-6.972.757;107.635.955;3753194
15/02/2020;12:42:33;-6.972.746;107.635.925;3692791
15/02/2020;12:42:34;-6.972.746;107.635.925;3685239
15/02/2020;12:42:35;-6.972.739;107.635.871;3677689
15/02/2020;12:42:36;-6.972.739;107.635.871;3685239
15/02/2020;12:42:37;-6.972.735;107.635.818;3700342
15/02/2020;12:42:38;-6.972.735;107.635.818;3707891
15/02/2020;12:42:39;-6.972.725;107.635.772;3700342
15/02/2020;12:42:40;-6.972.725;107.635.772;3677689
15/02/2020;12:42:41;-6.972.714;107.635.726;3632387
15/02/2020;12:42:42;-6.972.714;107.635.726;3700342
15/02/2020;12:42:43;-6.972.709;107.635.665;3806045
15/02/2020;12:42:44;-6.972.709;107.635.665;3700342
15/02/2020;12:42:45;-6.972.707;107.635.620;3624835
15/02/2020;12:42:46;-6.972.707;107.635.620;3685239
15/02/2020;12:42:47;-6.972.696;107.635.566;3700342
15/02/2020;12:42:48;-6.972.696;107.635.566;3624835
15/02/2020;12:42:49;-6.972.693;107.635.498;3624835
15/02/2020;12:42:50;-6.972.693;107.635.498;3594635
15/02/2020;12:42:51;-6.972.698;107.635.421;3564434
15/02/2020;12:42:52;-6.972.698;107.635.421;3556884
15/02/2020;12:42:53;-6.972.692;107.635.353;3534232
15/02/2020;12:42:54;-6.972.692;107.635.353;3519132
15/02/2020;12:42:55;-6.972.690;107.635.292;3498997
15/02/2020;12:42:56;-6.972.690;107.635.292;3480121
15/02/2020;12:42:57;-6.972.691;107.635.253;3461245
15/02/2020;12:42:58;-6.972.691;107.635.253;3442369
